timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686230418968,133,Contact-0,301,Moved Permanently,Thread Group 1-2,text,true,,399,153,10,10,http://www.bjitgroup.com/top-software-company-in-bangladesh,133,0,0
1686230419101,1066,Contact-1,200,OK,Thread Group 1-2,text,true,,92385,115,10,10,https://bjitgroup.com,145,0,0
1686230418607,1564,FAQ`s,200,OK,Thread Group 1-9,text,true,,92784,268,10,10,https://bjitgroup.com,167,0,0
1686230418607,167,FAQ`s-0,301,Moved Permanently,Thread Group 1-9,text,true,,399,153,10,10,http://www.bjitgroup.com/faq-of-offshore-development-center,167,0,0
1686230418774,1397,FAQ`s-1,200,OK,Thread Group 1-9,text,true,,92385,115,10,10,https://bjitgroup.com,581,0,0
1686230419398,906,News,200,OK,Thread Group 1-3,text,true,,92784,238,10,10,https://bjitgroup.com,114,0,0
1686230419398,114,News-0,301,Moved Permanently,Thread Group 1-3,text,true,,399,123,10,10,http://www.bjitgroup.com/news,114,0,0
1686230419512,792,News-1,200,OK,Thread Group 1-3,text,true,,92385,115,10,10,https://bjitgroup.com,186,0,0
1686230419394,1135,Career,200,OK,Thread Group 1-10,text,true,,92784,240,10,10,https://bjitgroup.com,112,0,0
1686230419394,112,Career-0,301,Moved Permanently,Thread Group 1-10,text,true,,399,125,10,10,http://www.bjitgroup.com/career,112,0,0
1686230419506,1023,Career-1,200,OK,Thread Group 1-10,text,true,,92385,115,10,10,https://bjitgroup.com,313,0,0
1686230419252,1594,Technology,200,OK,Thread Group 1-4,text,true,,92784,253,10,10,https://bjitgroup.com,138,0,0
1686230419252,138,Technology-0,301,Moved Permanently,Thread Group 1-4,text,true,,399,138,10,10,http://www.bjitgroup.com/software-technology,138,0,0
1686230419390,1456,Technology-1,200,OK,Thread Group 1-4,text,true,,92385,115,10,10,https://bjitgroup.com,315,0,0
1686230420138,909,Services,200,OK,Thread Group 1-8,text,true,,92784,254,10,10,https://bjitgroup.com,115,0,0
1686230420138,115,Services-0,301,Moved Permanently,Thread Group 1-8,text,true,,399,139,10,10,http://www.bjitgroup.com/offshore-it-services,115,0,0
1686230420253,794,Services-1,200,OK,Thread Group 1-8,text,true,,92385,115,10,10,https://bjitgroup.com,138,0,0
1686230420088,1039,Services,200,OK,Thread Group 1-1,text,true,,92784,254,10,10,https://bjitgroup.com,136,0,0
1686230420088,136,Services-0,301,Moved Permanently,Thread Group 1-1,text,true,,399,139,10,10,http://www.bjitgroup.com/offshore-it-services,136,0,0
1686230420224,903,Services-1,200,OK,Thread Group 1-1,text,true,,92385,115,10,10,https://bjitgroup.com,117,0,0
1686230420167,1082,All pages,200,OK,Thread Group 1-2,text,true,,92784,234,10,10,https://bjitgroup.com,122,0,0
1686230420167,122,All pages-0,301,Moved Permanently,Thread Group 1-2,text,true,,399,119,10,10,http://www.bjitgroup.com/,122,0,0
1686230420289,960,All pages-1,200,OK,Thread Group 1-2,text,true,,92385,115,10,10,https://bjitgroup.com,304,0,0
1686230420304,947,Career,200,OK,Thread Group 1-3,text,true,,92784,240,10,10,https://bjitgroup.com,150,0,0
1686230420304,150,Career-0,301,Moved Permanently,Thread Group 1-3,text,true,,399,125,10,10,http://www.bjitgroup.com/career,150,0,0
1686230420454,797,Career-1,200,OK,Thread Group 1-3,text,true,,92385,115,10,10,https://bjitgroup.com,186,0,0
1686230419271,1980,Capabilities,200,OK,Thread Group 1-6,text,true,,92784,251,10,10,https://bjitgroup.com,125,0,0
1686230419271,125,Capabilities-0,301,Moved Permanently,Thread Group 1-6,text,true,,399,136,10,10,http://www.bjitgroup.com/bjit-capabilities,125,0,0
1686230419396,1855,Capabilities-1,200,OK,Thread Group 1-6,text,true,,92385,115,10,10,https://bjitgroup.com,317,0,0
1686230419739,1692,Technology,200,OK,Thread Group 1-7,text,true,,92784,253,10,10,https://bjitgroup.com,178,0,0
1686230419739,178,Technology-0,301,Moved Permanently,Thread Group 1-7,text,true,,399,138,10,10,http://www.bjitgroup.com/software-technology,178,0,0
1686230419917,1514,Technology-1,200,OK,Thread Group 1-7,text,true,,92385,115,10,10,https://bjitgroup.com,431,0,0
1686230420171,1313,Contact,200,OK,Thread Group 1-9,text,true,,92784,268,10,10,https://bjitgroup.com,114,0,0
1686230420171,114,Contact-0,301,Moved Permanently,Thread Group 1-9,text,true,,399,153,10,10,http://www.bjitgroup.com/top-software-company-in-bangladesh,114,0,0
1686230420285,1199,Contact-1,200,OK,Thread Group 1-9,text,true,,92385,115,10,10,https://bjitgroup.com,296,0,0
1686230420529,1032,FAQ`s,200,OK,Thread Group 1-10,text,true,,92784,268,10,10,https://bjitgroup.com,160,0,0
1686230420529,160,FAQ`s-0,301,Moved Permanently,Thread Group 1-10,text,true,,399,153,10,10,http://www.bjitgroup.com/faq-of-offshore-development-center,160,0,0
1686230420689,872,FAQ`s-1,200,OK,Thread Group 1-10,text,true,,92385,115,10,10,https://bjitgroup.com,331,0,0
1686230419449,2302,Technology,200,OK,Thread Group 1-5,text,true,,92784,253,10,10,https://bjitgroup.com,137,0,0
